Gas consumption package calculation
Gas type - "methane"
Gas press ~ 15 MPa
Gas temp - 0 cel

Cycle #0 | Gas pressure drop = 0.0506627 MPa
0.81 | Mass consumption = 8849 kg/sec | Volume consumption = 82 m3/sec
0.82 | Mass consumption = 8959 kg/sec | Volume consumption = 83 m3/sec
0.83 | Mass consumption = 9070 kg/sec | Volume consumption = 84 m3/sec
0.84 | Mass consumption = 9180 kg/sec | Volume consumption = 85 m3/sec
0.85 | Mass consumption = 9291 kg/sec | Volume consumption = 86 m3/sec
0.86 | Mass consumption = 9402 kg/sec | Volume consumption = 87 m3/sec
0.87 | Mass consumption = 9512 kg/sec | Volume consumption = 88 m3/sec
0.88 | Mass consumption = 9623 kg/sec | Volume consumption = 89 m3/sec
0.89 | Mass consumption = 9733 kg/sec | Volume consumption = 90 m3/sec
0.9 | Mass consumption = 9844 kg/sec | Volume consumption = 91 m3/sec
0.91 | Mass consumption = 9955 kg/sec | Volume consumption = 92 m3/sec
0.92 | Mass consumption = 10065 kg/sec | Volume consumption = 93 m3/sec
0.93 | Mass consumption = 10176 kg/sec | Volume consumption = 94 m3/sec
0.94 | Mass consumption = 10286 kg/sec | Volume consumption = 95 m3/sec
0.95 | Mass consumption = 10397 kg/sec | Volume consumption = 96 m3/sec
0.96 | Mass consumption = 10508 kg/sec | Volume consumption = 97 m3/sec
0.97 | Mass consumption = 10618 kg/sec | Volume consumption = 98 m3/sec
0.98 | Mass consumption = 10729 kg/sec | Volume consumption = 99 m3/sec
0.99 | Mass consumption = 10840 kg/sec | Volume consumption = 100 m3/sec
1 | Mass consumption = 10950 kg/sec | Volume consumption = 102 m3/sec

Cycle #3 | Gas pressure drop = 0.202651 MPa
0.01 | Mass consumption = 0 kg/sec | Volume consumption = 0 m3/sec
0.02 | Mass consumption = 99 kg/sec | Volume consumption = 0 m3/sec
0.03 | Mass consumption = 199 kg/sec | Volume consumption = 1 m3/sec
0.04 | Mass consumption = 298 kg/sec | Volume consumption = 2 m3/sec
0.05 | Mass consumption = 398 kg/sec | Volume consumption = 3 m3/sec
0.06 | Mass consumption = 498 kg/sec | Volume consumption = 4 m3/sec
0.07 | Mass consumption = 597 kg/sec | Volume consumption = 5 m3/sec
0.08 | Mass consumption = 697 kg/sec | Volume consumption = 6 m3/sec
0.09 | Mass consumption = 797 kg/sec | Volume consumption = 7 m3/sec
0.1 | Mass consumption = 896 kg/sec | Volume consumption = 8 m3/sec
0.11 | Mass consumption = 996 kg/sec | Volume consumption = 9 m3/sec
0.12 | Mass consumption = 1095 kg/sec | Volume consumption = 10 m3/sec
0.13 | Mass consumption = 1195 kg/sec | Volume consumption = 11 m3/sec
0.14 | Mass consumption = 1295 kg/sec | Volume consumption = 12 m3/sec
0.15 | Mass consumption = 1394 kg/sec | Volume consumption = 12 m3/sec
0.16 | Mass consumption = 1494 kg/sec | Volume consumption = 13 m3/sec
0.17 | Mass consumption = 1594 kg/sec | Volume consumption = 14 m3/sec
0.18 | Mass consumption = 1693 kg/sec | Volume consumption = 15 m3/sec
0.19 | Mass consumption = 1793 kg/sec | Volume consumption = 16 m3/sec
0.2 | Mass consumption = 1893 kg/sec | Volume consumption = 17 m3/sec
0.21 | Mass consumption = 1992 kg/sec | Volume consumption = 18 m3/sec
0.22 | Mass consumption = 2092 kg/sec | Volume consumption = 19 m3/sec
0.23 | Mass consumption = 2191 kg/sec | Volume consumption = 20 m3/sec
0.24 | Mass consumption = 2291 kg/sec | Volume consumption = 21 m3/sec
0.25 | Mass consumption = 2391 kg/sec | Volume consumption = 22 m3/sec
0.26 | Mass consumption = 2490 kg/sec | Volume consumption = 23 m3/sec
0.27 | Mass consumption = 2590 kg/sec | Volume consumption = 24 m3/sec
0.28 | Mass consumption = 2690 kg/sec | Volume consumption = 25 m3/sec
0.29 | Mass consumption = 2789 kg/sec | Volume consumption = 25 m3/sec
0.3 | Mass consumption = 2889 kg/sec | Volume consumption = 26 m3/sec
0.31 | Mass consumption = 2989 kg/sec | Volume consumption = 27 m3/sec
0.32 | Mass consumption = 3088 kg/sec | Volume consumption = 28 m3/sec
0.33 | Mass consumption = 3188 kg/sec | Volume consumption = 29 m3/sec
0.34 | Mass consumption = 3287 kg/sec | Volume consumption = 30 m3/sec
0.35 | Mass consumption = 3387 kg/sec | Volume consumption = 31 m3/sec
0.36 | Mass consumption = 3487 kg/sec | Volume consumption = 32 m3/sec
0.37 | Mass consumption = 3586 kg/sec | Volume consumption = 33 m3/sec
0.38 | Mass consumption = 3686 kg/sec | Volume consumption = 34 m3/sec
0.39 | Mass consumption = 3786 kg/sec | Volume consumption = 35 m3/sec
0.4 | Mass consumption = 3885 kg/sec | Volume consumption = 36 m3/sec
0.41 | Mass consumption = 3985 kg/sec | Volume consumption = 37 m3/sec
0.42 | Mass consumption = 4085 kg/sec | Volume consumption = 38 m3/sec
0.43 | Mass consumption = 4184 kg/sec | Volume consumption = 38 m3/sec
0.44 | Mass consumption = 4284 kg/sec | Volume consumption = 39 m3/sec
0.45 | Mass consumption = 4383 kg/sec | Volume consumption = 40 m3/sec
0.46 | Mass consumption = 4483 kg/sec | Volume consumption = 41 m3/sec
0.47 | Mass consumption = 4583 kg/sec | Volume consumption = 42 m3/sec
0.48 | Mass consumption = 4682 kg/sec | Volume consumption = 43 m3/sec
0.49 | Mass consumption = 4782 kg/sec | Volume consumption = 44 m3/sec
0.5 | Mass consumption = 4882 kg/sec | Volume consumption = 45 m3/sec
0.51 | Mass consumption = 4981 kg/sec | Volume consumption = 46 m3/sec
0.52 | Mass consumption = 5081 kg/sec | Volume consumption = 47 m3/sec
0.53 | Mass consumption = 5180 kg/sec | Volume consumption = 48 m3/sec
0.54 | Mass consumption = 5280 kg/sec | Volume consumption = 49 m3/sec
0.55 | Mass consumption = 5380 kg/sec | Volume consumption = 50 m3/sec
